      action  day  guard_id  hour  minute  month                                       original  year                time
111        1   25      89.0     0       2      2    [1518-02-25 00:02] Guard #89 begins shift\n  2018 2018-02-25 00:02:00
404        0   25      89.0     0      26      2              [1518-02-25 00:26] falls asleep\n  2018 2018-02-25 00:26:00
357        1   25      89.0     0      42      2                  [1518-02-25 00:42] wakes up\n  2018 2018-02-25 00:42:00
716        1   18      89.0     0       2      4    [1518-04-18 00:02] Guard #89 begins shift\n  2018 2018-04-18 00:02:00
763        0   18      89.0     0      23      4              [1518-04-18 00:23] falls asleep\n  2018 2018-04-18 00:23:00
641        1   18      89.0     0      46      4                  [1518-04-18 00:46] wakes up\n  2018 2018-04-18 00:46:00
255        1   12      89.0     0       4      5    [1518-05-12 00:04] Guard #89 begins shift\n  2018 2018-05-12 00:04:00
1022       0   12      89.0     0      20      5              [1518-05-12 00:20] falls asleep\n  2018 2018-05-12 00:20:00
239        1   12      89.0     0      31      5                  [1518-05-12 00:31] wakes up\n  2018 2018-05-12 00:31:00
280        0   12      89.0     0      44      5              [1518-05-12 00:44] falls asleep\n  2018 2018-05-12 00:44:00
600        1   12      89.0     0      54      5                  [1518-05-12 00:54] wakes up\n  2018 2018-05-12 00:54:00
488        1   13      89.0     0       3      5    [1518-05-13 00:03] Guard #89 begins shift\n  2018 2018-05-13 00:03:00
954        0   13      89.0     0      29      5              [1518-05-13 00:29] falls asleep\n  2018 2018-05-13 00:29:00
788        1   13      89.0     0      53      5                  [1518-05-13 00:53] wakes up\n  2018 2018-05-13 00:53:00
712        1    9      89.0     0       0      6    [1518-06-09 00:00] Guard #89 begins shift\n  2018 2018-06-09 00:00:00
1072       0    9      89.0     0      22      6              [1518-06-09 00:22] falls asleep\n  2018 2018-06-09 00:22:00
251        1    9      89.0     0      36      6                  [1518-06-09 00:36] wakes up\n  2018 2018-06-09 00:36:00
115        0    9      89.0     0      43      6              [1518-06-09 00:43] falls asleep\n  2018 2018-06-09 00:43:00
925        1    9      89.0     0      58      6                  [1518-06-09 00:58] wakes up\n  2018 2018-06-09 00:58:00
905        1    1      89.0    23      57      7    [1518-07-01 23:57] Guard #89 begins shift\n  2018 2018-07-01 23:57:00
324        0    2      89.0     0      23      7              [1518-07-02 00:23] falls asleep\n  2018 2018-07-02 00:23:00
422        1    2      89.0     0      31      7                  [1518-07-02 00:31] wakes up\n  2018 2018-07-02 00:31:00
153        0    2      89.0     0      42      7              [1518-07-02 00:42] falls asleep\n  2018 2018-07-02 00:42:00
306        1    2      89.0     0      49      7                  [1518-07-02 00:49] wakes up\n  2018 2018-07-02 00:49:00
50         1   10      89.0     0       4      7    [1518-07-10 00:04] Guard #89 begins shift\n  2018 2018-07-10 00:04:00
209        0   10      89.0     0      23      7              [1518-07-10 00:23] falls asleep\n  2018 2018-07-10 00:23:00
626        1   10      89.0     0      31      7                  [1518-07-10 00:31] wakes up\n  2018 2018-07-10 00:31:00
758        0   10      89.0     0      44      7              [1518-07-10 00:44] falls asleep\n  2018 2018-07-10 00:44:00
919        1   10      89.0     0      49      7                  [1518-07-10 00:49] wakes up\n  2018 2018-07-10 00:49:00
426        1    8      89.0    23      53      8    [1518-08-08 23:53] Guard #89 begins shift\n  2018 2018-08-08 23:53:00
330        0    9      89.0     0       3      8              [1518-08-09 00:03] falls asleep\n  2018 2018-08-09 00:03:00
799        1    9      89.0     0      57      8                  [1518-08-09 00:57] wakes up\n  2018 2018-08-09 00:57:00
742        1   12      89.0    23      57      8    [1518-08-12 23:57] Guard #89 begins shift\n  2018 2018-08-12 23:57:00
653        0   13      89.0     0       7      8              [1518-08-13 00:07] falls asleep\n  2018 2018-08-13 00:07:00
747        1   13      89.0     0      47      8                  [1518-08-13 00:47] wakes up\n  2018 2018-08-13 00:47:00
812        0   13      89.0     0      57      8              [1518-08-13 00:57] falls asleep\n  2018 2018-08-13 00:57:00
1106       1   13      89.0     0      58      8                  [1518-08-13 00:58] wakes up\n  2018 2018-08-13 00:58:00
637        1   23      89.0     0       0      9    [1518-09-23 00:00] Guard #89 begins shift\n  2018 2018-09-23 00:00:00
858        0   23      89.0     0      40      9              [1518-09-23 00:40] falls asleep\n  2018 2018-09-23 00:40:00
735        1   23      89.0     0      50      9                  [1518-09-23 00:50] wakes up\n  2018 2018-09-23 00:50:00
659        0   23      89.0     0      55      9              [1518-09-23 00:55] falls asleep\n  2018 2018-09-23 00:55:00
575        1   23      89.0     0      59      9                  [1518-09-23 00:59] wakes up\n  2018 2018-09-23 00:59:00
915        1    3      89.0    23      59     10    [1518-10-03 23:59] Guard #89 begins shift\n  2018 2018-10-03 23:59:00
810        0    4      89.0     0      19     10              [1518-10-04 00:19] falls asleep\n  2018 2018-10-04 00:19:00
226        1    4      89.0     0      54     10                  [1518-10-04 00:54] wakes up\n  2018 2018-10-04 00:54:00
694        1   23      89.0    23      59     10    [1518-10-23 23:59] Guard #89 begins shift\n  2018 2018-10-23 23:59:00
964        0   24      89.0     0      24     10              [1518-10-24 00:24] falls asleep\n  2018 2018-10-24 00:24:00
331        1   24      89.0     0      50     10                  [1518-10-24 00:50] wakes up\n  2018 2018-10-24 00:50:00
